Date,County,Sales (Dollars)
2014-01-14,o'brien,22481.499999999985
2014-01-14,osceola,4020.090000000002
2014-01-14,page,15657.739999999983
2014-01-14,palo alto,13951.939999999991
2014-01-14,plymouth,35017.869999999995
2014-01-14,pocahontas,4258.299999999999
2014-01-14,polk,215164.57000000065
2014-01-14,pottawattamie,4065.52
2014-01-14,poweshiek,19501.519999999993
2014-01-14,ringgold,1804.0200000000004
2014-01-14,sioux,25098.28999999999
2014-01-14,story,14109.349999999999
2014-01-14,tama,11890.269999999995
2014-01-14,taylor,879.9500000000002
2014-01-14,union,19259.499999999996
2014-01-14,webster,45770.089999999975
2014-01-14,wright,12912.040000000012
2014-01-15,allamakee,11268.28999999999
2014-01-15,appanoose,16226.849999999997
2014-01-15,benton,2142.1099999999997
2014-01-15,black hawk,21730.45999999999
2014-01-15,boone,19367.87
2014-01-15,bremer,6470.669999999998
2014-01-15,buchanan,5226.199999999998
2014-01-15,buena vista,31439.15999999999
2014-01-15,calhoun,4193.56
2014-01-15,cedar,3047.250000000001
2014-01-15,crawford,2344.399999999999
2014-01-15,davis,1654.7200000000003
2014-01-15,dubuque,121160.15000000004
2014-01-15,fayette,14058.520000000002
2014-01-15,greene,1963.3199999999995
2014-01-15,hamilton,1207.04
2014-01-15,hancock,2957.3099999999986
2014-01-15,ida,9539.040000000006
2014-01-15,iowa,8282.289999999999
2014-01-15,johnson,28975.809999999987
2014-01-15,jones,6919.839999999997
2014-01-15,kossuth,32547.530000000006
2014-01-15,linn,32735.56999999998
2014-01-15,mahaska,21651.47000000001
2014-01-15,marion,28336.729999999974
2014-01-15,marshall,4049.7000000000003
2014-01-15,monona,13616.859999999995
2014-01-15,monroe,2653.5799999999995
2014-01-15,plymouth,1079.52
2014-01-15,polk,108671.97000000012
2014-01-15,pottawattamie,2513.5499999999997
2014-01-15,poweshiek,2236.6600000000003
2014-01-15,sac,7380.160000000001
2014-01-15,scott,199132.63999999987
2014-01-15,story,112901.39000000017
2014-01-15,wapello,53583.50000000003
2014-01-15,webster,2547.86
2014-01-15,winnebago,7171.419999999999
2014-01-15,winneshiek,28343.110000000004
2014-01-15,woodbury,143094.38000000006
2014-01-16,black hawk,117348.46000000004
2014-01-16,boone,3723.370000000001
2014-01-16,carroll,29571.469999999994
2014-01-16,cedar,2957.9700000000007
2014-01-16,clarke,8006.350000000003
2014-01-16,clinton,47254.91000000003
2014-01-16,crawford,11188.770000000004
2014-01-16,dallas,4975.279999999999
2014-01-16,decatur,4540.710000000002
2014-01-16,greene,4289.08
2014-01-16,iowa,5476.81
2014-01-16,jasper,1691.32
2014-01-16,johnson,117740.41000000008
2014-01-16,jones,5686.549999999996
2014-01-16,linn,92859.21000000006
2014-01-16,lucas,6864.509999999998
2014-01-16,madison,1264.62
2014-01-16,marion,2738.0500000000006
2014-01-16,polk,383762.7900000008
2014-01-16,story,7407.0199999999995
2014-01-16,wapello,935.76
2014-01-16,warren,24362.990000000005
2014-01-17,des moines,1971.2400000000002
2014-01-20,adair,6447.110000000002
2014-01-20,audubon,1818.2699999999993
2014-01-20,benton,4925.760000000001
2014-01-20,black hawk,88035.97000000009
2014-01-20,buchanan,15427.539999999992
2014-01-20,butler,1616.58
2014-01-20,cass,21245.76999999999
2014-01-20,cedar,1044.6
2014-01-20,cerro gordo,86212.54000000005
2014-01-20,clayton,6565.169999999997
2014-01-20,delaware,13818.84
2014-01-20,des moines,54935.479999999996
2014-01-20,dubuque,1787.8400000000001
2014-01-20,franklin,4357.339999999998
2014-01-20,grundy,5788.949999999999
2014-01-20,guthrie,2320.87
2014-01-20,hardin,22844.299999999977
2014-01-20,harrison,8503.769999999995
2014-01-20,henry,29347.580000000005
2014-01-20,iowa,9416.710000000003
2014-01-20,jackson,16566.8
2014-01-20,jasper,13289.61
2014-01-20,jefferson,12649.459999999992
2014-01-20,johnson,59906.620000000024
2014-01-20,jones,3269.04
2014-01-20,lee,50104.69000000001
2014-01-20,linn,190221.64000000022
2014-01-20,louisa,2814.0400000000004
2014-01-20,muscatine,65002.730000000025
2014-01-20,polk,195743.75000000047
2014-01-20,pottawattamie,165798.6300000002
2014-01-20,scott,87201.13999999997
2014-01-20,shelby,10512.709999999992
2014-01-20,story,1897.8000000000002
2014-01-20,van buren,5213.399999999999
2014-01-20,wapello,1377.87
2014-01-20,washington,21337.91999999999
2014-01-20,winnebago,1184.2300000000002
2014-01-20,worth,4973.300000000001
2014-01-21,adair,677.7
2014-01-21,adams,1471.8300000000004
2014-01-21,benton,3596.950000000001
2014-01-21,boone,3078.57
2014-01-21,bremer,18703.369999999977
2014-01-21,butler,3226.01
2014-01-21,cherokee,14703.429999999998
2014-01-21,chickasaw,8023.789999999998
2014-01-21,clay,24647.140000000007
2014-01-21,clayton,1471.1300000000006
2014-01-21,dallas,25083.99000000001
2014-01-21,dickinson,82805.71000000008
2014-01-21,emmet,4867.62
2014-01-21,floyd,14345.5
2014-01-21,hamilton,16738.189999999995
2014-01-21,hardin,11437.740000000002
2014-01-21,howard,10682.369999999999
2014-01-21,humboldt,7076.879999999999
2014-01-21,iowa,879.11
2014-01-21,jasper,15863.970000000005
2014-01-21,kossuth,1660.08
2014-01-21,linn,31185.329999999994
2014-01-21,lyon,8818.96
2014-01-21,madison,7988.089999999999
2014-01-21,marshall,45326.89999999997
2014-01-21,mills,9120.88
2014-01-21,mitchell,7574.229999999995
2014-01-21,montgomery,7769.73
2014-01-21,o'brien,21908.479999999996
2014-01-21,osceola,2281.29
2014-01-21,page,14798.499999999996
2014-01-21,palo alto,11544.409999999993
2014-01-21,plymouth,19760.449999999983
2014-01-21,pocahontas,6449.109999999999
2014-01-21,polk,200650.63000000047
2014-01-21,pottawattamie,1622.22
2014-01-21,poweshiek,17025.82
2014-01-21,ringgold,2700.7499999999995
2014-01-21,sioux,25126.97
2014-01-21,story,16663.259999999987
2014-01-21,tama,13236.47
2014-01-21,taylor,1748.22
2014-01-21,union,16973.41999999999
2014-01-21,warren,1044.12
2014-01-21,webster,44981.679999999986
2014-01-21,wright,10758.860000000002
2014-01-22,allamakee,11703.91
2014-01-22,appanoose,9402.759999999998
2014-01-22,benton,2552.9999999999995
2014-01-22,black hawk,21752.029999999984
2014-01-22,boone,19973.530000000002
2014-01-22,bremer,4866.100000000001
2014-01-22,buchanan,4696.910000000001
2014-01-22,buena vista,30922.420000000035
2014-01-22,calhoun,6807.280000000002
2014-01-22,cedar,1971.28
2014-01-22,cerro gordo,4753.43
2014-01-22,crawford,1620.8700000000001
2014-01-22,dallas,1427.36
2014-01-22,davis,1497.21
2014-01-22,dubuque,130374.01000000013
2014-01-22,fayette,32187.98
2014-01-22,hamilton,3374.5099999999993
2014-01-22,hancock,5689.48
2014-01-22,ida,7628.000000000002
2014-01-22,iowa,5263.950000000001
2014-01-22,johnson,31387.83
2014-01-22,jones,6996.379999999995
2014-01-22,kossuth,24086.690000000002
2014-01-22,linn,47215.01999999993
2014-01-22,mahaska,15178.809999999992
2014-01-22,marion,26386.229999999985
2014-01-22,marshall,4047.0
2014-01-22,monona,7595.940000000001
2014-01-22,monroe,8548.419999999998
2014-01-22,plymouth,1723.2500000000002
2014-01-22,polk,114535.74000000002
2014-01-22,poweshiek,1552.62
2014-01-22,sac,9903.870000000003
2014-01-22,scott,225050.93000000034
2014-01-22,story,183367.90000000017
2014-01-22,wapello,41351.42000000002
2014-01-22,webster,1453.6099999999997
2014-01-22,winnebago,7796.150000000003
2014-01-22,winneshiek,18164.699999999997
2014-01-22,woodbury,152324.21999999994
2014-01-23,black hawk,119607.36000000002
2014-01-23,boone,5272.15
2014-01-23,carroll,24442.630000000016
2014-01-23,cedar,5660.140000000001
2014-01-23,clarke,10728.730000000001
2014-01-23,clinton,53495.54999999998
2014-01-23,crawford,17607.11999999999
2014-01-23,dallas,7936.120000000002
2014-01-23,decatur,2472.2000000000003
2014-01-23,greene,4065.49
2014-01-23,iowa,9137.319999999998
2014-01-23,johnson,206755.84000000055
2014-01-23,jones,20753.14
2014-01-23,linn,112547.31000000008
2014-01-23,lucas,2212.1699999999996
2014-01-23,marion,2969.479999999999
2014-01-23,polk,377068.11999999994
2014-01-23,wapello,500.40000000000003
2014-01-23,warren,32240.990000000013
2014-01-23,wayne,1443.9
2014-01-23,winnebago,1547.22
