Date,County,Volume Sold (Liters)
2014-04-01,woodbury,55497.43999999984
2014-04-01,worth,1459.93
2014-04-01,wright,4000.28
2014-05-01,adair,2511.1699999999996
2014-05-01,adams,464.73
2014-05-01,allamakee,4728.31
2014-05-01,appanoose,4064.57
2014-05-01,audubon,863.25
2014-05-01,benton,4606.48
2014-05-01,black hawk,93617.66000000077
2014-05-01,boone,13327.480000000003
2014-05-01,bremer,11680.370000000003
2014-05-01,buchanan,8819.21
2014-05-01,buena vista,10203.620000000003
2014-05-01,butler,1543.57
2014-05-01,calhoun,2525.6099999999997
2014-05-01,carroll,16582.329999999987
2014-05-01,cass,6485.440000000001
2014-05-01,cedar,4645.74
2014-05-01,cerro gordo,34734.75999999997
2014-05-01,cherokee,3796.89
2014-05-01,chickasaw,2836.1
2014-05-01,clarke,3913.9
2014-05-01,clay,10405.890000000001
2014-05-01,clayton,3681.2999999999997
2014-05-01,clinton,23731.39000000003
2014-05-01,crawford,12653.220000000005
2014-05-01,dallas,23577.55
2014-05-01,davis,664.75
2014-05-01,decatur,1125.67
2014-05-01,delaware,4597.53
2014-05-01,des moines,19908.009999999984
2014-05-01,dickinson,28494.589999999993
2014-05-01,dubuque,47356.11
2014-05-01,emmet,4247.2699999999995
2014-05-01,fayette,8123.24
2014-05-01,floyd,6344.5
2014-05-01,franklin,3115.62
2014-05-01,greene,2687.2300000000005
2014-05-01,grundy,1445.9499999999998
2014-05-01,guthrie,1401.19
2014-05-01,hamilton,6215.95
2014-05-01,hancock,1990.75
2014-05-01,hardin,11546.650000000001
2014-05-01,harrison,2852.93
2014-05-01,henry,5332.340000000002
2014-05-01,howard,4080.6499999999996
2014-05-01,humboldt,4572.059999999999
2014-05-01,ida,2439.56
2014-05-01,iowa,10257.529999999999
2014-05-01,jackson,7699.4900000000025
2014-05-01,jasper,11165.110000000002
2014-05-01,jefferson,4194.499999999999
2014-05-01,johnson,88928.98000000019
2014-05-01,jones,7639.940000000002
2014-05-01,keokuk,821.5600000000001
2014-05-01,kossuth,10044.950000000004
2014-05-01,lee,15815.59
2014-05-01,linn,132400.60000000038
2014-05-01,louisa,1106.38
2014-05-01,lucas,2209.0
2014-05-01,lyon,3813.509999999998
2014-05-01,madison,2550.7200000000003
2014-05-01,mahaska,5868.329999999999
2014-05-01,marion,10929.890000000012
2014-05-01,marshall,16306.910000000013
2014-05-01,mills,2733.6
2014-05-01,mitchell,2957.05
2014-05-01,monona,3188.5799999999986
2014-05-01,monroe,1504.4699999999998
2014-05-01,montgomery,3326.3499999999995
2014-05-01,muscatine,18095.86000000002
2014-05-01,o'brien,5868.929999999999
2014-05-01,osceola,1421.8599999999994
2014-05-01,page,5687.22
2014-05-01,palo alto,3901.75
2014-05-01,plymouth,9176.520000000002
2014-05-01,pocahontas,2297.9099999999994
2014-05-01,polk,328532.8699999981
2014-05-01,pottawattamie,47591.879999999954
2014-05-01,poweshiek,8763.809999999998
2014-05-01,ringgold,768.75
2014-05-01,sac,3731.1499999999987
2014-05-01,scott,95641.47000000029
2014-05-01,shelby,3685.0199999999995
2014-05-01,sioux,9879.9
2014-05-01,story,41049.309999999874
2014-05-01,tama,4021.269999999998
2014-05-01,taylor,589.35
2014-05-01,union,5648.9800000000005
2014-05-01,van buren,651.3100000000001
2014-05-01,wapello,13068.950000000028
2014-05-01,warren,14838.450000000003
2014-05-01,washington,7456.0099999999975
2014-05-01,wayne,419.25
2014-05-01,webster,16655.230000000003
2014-05-01,winnebago,6455.07
2014-05-01,winneshiek,7872.589999999999
2014-05-01,woodbury,51707.24999999993
2014-05-01,worth,1309.15
2014-05-01,wright,3598.169999999999
2014-06-01,adair,3588.21
2014-06-01,adams,666.9700000000003
2014-06-01,allamakee,6920.14
2014-06-01,appanoose,3940.3999999999996
2014-06-01,audubon,1866.25
2014-06-01,benton,5594.42
2014-06-01,black hawk,86052.10000000044
2014-06-01,boone,10155.500000000004
2014-06-01,bremer,13845.470000000003
2014-06-01,buchanan,9804.840000000004
2014-06-01,buena vista,9287.990000000007
2014-06-01,butler,2487.41
2014-06-01,calhoun,2409.2299999999996
2014-06-01,carroll,14235.169999999991
2014-06-01,cass,7834.530000000001
2014-06-01,cedar,3208.52
2014-06-01,cerro gordo,45929.20000000001
2014-06-01,cherokee,4719.46
2014-06-01,chickasaw,3644.49
2014-06-01,clarke,3412.2400000000002
2014-06-01,clay,10698.290000000006
2014-06-01,clayton,5692.31
2014-06-01,clinton,18571.949999999993
2014-06-01,crawford,6318.249999999998
2014-06-01,dallas,47219.63
2014-06-01,davis,544.25
2014-06-01,decatur,1522.4799999999996
