Date,County,Sales (Dollars)
2016-06-01,poweshiek,137818.0199999999
2016-06-01,ringgold,12852.319999999992
2016-06-01,sac,61503.07000000001
2016-06-01,scott,1947397.339999982
2016-06-01,shelby,10535.910000000002
2016-06-01,sioux,104172.06999999996
2016-06-01,story,739532.1100000034
2016-06-01,tama,65639.50999999995
2016-06-01,taylor,11562.409999999994
2016-06-01,union,78767.40999999997
2016-06-01,van buren,22882.37
2016-06-01,wapello,186789.01000000024
2016-06-01,warren,169658.90000000002
2016-06-01,washington,137997.3099999999
2016-06-01,wayne,8311.380000000001
2016-06-01,webster,244631.83000000034
2016-06-01,winnebago,69549.29999999994
2016-06-01,winneshiek,135106.1299999999
2016-06-01,woodbury,949229.8400000086
2016-06-01,worth,21012.680000000008
2016-06-01,wright,58890.23
2016-07-01,adair,29286.150000000012
2016-07-01,adams,7411.6100000000015
2016-07-01,allamakee,82251.59000000008
2016-07-01,appanoose,69637.53999999996
2016-07-01,audubon,7132.470000000001
2016-07-01,benton,49519.81000000002
2016-07-01,black hawk,1073755.240000008
2016-07-01,boone,79659.34000000003
2016-07-01,bremer,125699.71999999975
2016-07-01,buchanan,82115.49999999997
2016-07-01,buena vista,154226.83000000054
2016-07-01,butler,25379.76999999999
2016-07-01,calhoun,21009.559999999998
2016-07-01,carroll,171522.20000000004
2016-07-01,cass,86527.39000000001
2016-07-01,cedar,40297.789999999964
2016-07-01,cerro gordo,427604.95000000234
2016-07-01,cherokee,63449.52999999996
2016-07-01,chickasaw,28027.45
2016-07-01,clarke,57568.08999999996
2016-07-01,clay,108890.07000000011
2016-07-01,clayton,60649.389999999934
2016-07-01,clinton,242794.35999999978
2016-07-01,crawford,131381.67999999996
2016-07-01,dallas,320771.24000000063
2016-07-01,davis,6413.960000000003
2016-07-01,decatur,9317.719999999996
2016-07-01,delaware,82490.06
2016-07-01,des moines,316436.29000000155
2016-07-01,dickinson,576652.7500000009
2016-07-01,dubuque,590373.0800000039
2016-07-01,emmet,48223.039999999986
2016-07-01,fayette,113317.84000000011
2016-07-01,floyd,83882.13
2016-07-01,franklin,15052.64999999999
2016-07-01,fremont,1913.01
2016-07-01,greene,38304.58999999999
2016-07-01,grundy,25357.120000000006
2016-07-01,guthrie,31276.009999999995
2016-07-01,hamilton,56197.760000000024
2016-07-01,hancock,29042.699999999993
2016-07-01,hardin,141262.92999999996
2016-07-01,harrison,18786.81999999999
2016-07-01,henry,77366.23000000003
2016-07-01,howard,29293.710000000003
2016-07-01,humboldt,51985.48000000001
2016-07-01,ida,60223.57999999998
2016-07-01,iowa,76948.2500000001
2016-07-01,jackson,86959.60000000006
2016-07-01,jasper,130109.54000000007
2016-07-01,jefferson,82228.77000000005
2016-07-01,johnson,1065739.290000007
2016-07-01,jones,60251.25999999996
2016-07-01,keokuk,4183.159999999999
2016-07-01,kossuth,125945.33999999997
2016-07-01,lee,244856.7699999999
2016-07-01,linn,1785299.3299999689
2016-07-01,louisa,10525.900000000001
2016-07-01,lucas,29870.630000000023
2016-07-01,lyon,48734.250000000095
2016-07-01,madison,55867.36000000003
2016-07-01,mahaska,56498.71999999994
2016-07-01,marion,148272.61999999988
2016-07-01,marshall,228675.20000000033
2016-07-01,mills,30864.81999999999
2016-07-01,mitchell,35800.90000000001
2016-07-01,monona,48542.94000000005
2016-07-01,monroe,17377.539999999994
2016-07-01,montgomery,52366.90999999997
2016-07-01,muscatine,203465.4100000005
2016-07-01,o'brien,88945.72000000004
2016-07-01,osceola,16045.020000000002
2016-07-01,page,95778.91000000006
2016-07-01,palo alto,61372.05000000003
2016-07-01,plymouth,121454.29000000008
2016-07-01,pocahontas,31699.280000000017
2016-07-01,polk,4581162.269999912
2016-07-01,pottawattamie,670314.9900000045
2016-07-01,poweshiek,96740.23000000019
2016-07-01,ringgold,18819.319999999992
2016-07-01,sac,47750.550000000025
2016-07-01,scott,1512785.4299999939
2016-07-01,shelby,14119.479999999994
2016-07-01,sioux,83596.81999999998
2016-07-01,story,573795.8000000033
2016-07-01,tama,49746.41999999999
2016-07-01,taylor,9572.249999999998
2016-07-01,union,78346.07999999996
2016-07-01,van buren,16767.1
2016-07-01,wapello,174976.89000000016
2016-07-01,warren,154574.93999999986
2016-07-01,washington,132874.81999999998
2016-07-01,wayne,7001.290000000001
2016-07-01,webster,221518.01000000024
2016-07-01,winnebago,61599.82000000001
2016-07-01,winneshiek,114298.35999999994
2016-07-01,woodbury,644957.3100000035
2016-07-01,worth,17307.529999999984
2016-07-01,wright,42265.17
2016-08-01,adair,35001.37000000003
2016-08-01,adams,6540.900000000004
2016-08-01,allamakee,73118.56999999999
2016-08-01,appanoose,84043.58000000005
2016-08-01,audubon,14009.539999999994
2016-08-01,benton,62361.56999999996
2016-08-01,black hawk,1277261.6299999924
2016-08-01,boone,120637.62999999996
2016-08-01,bremer,122253.30000000003
2016-08-01,buchanan,115489.2800000001
2016-08-01,buena vist,27191.01000000004
2016-08-01,buena vista,125359.17000000004
2016-08-01,butler,21506.620000000006
2016-08-01,calhoun,22334.739999999994
2016-08-01,carroll,180840.48999999987
2016-08-01,cass,95450.72000000015
2016-08-01,cedar,42038.05999999992
2016-08-01,cerro gordo,431978.8800000013
2016-08-01,cherokee,63874.650000000074
2016-08-01,chickasaw,18468.72
2016-08-01,clarke,40282.969999999994
2016-08-01,clay,137899.04000000004
2016-08-01,clayton,64922.419999999984
2016-08-01,clinton,294738.89000000095
2016-08-01,crawford,94276.37999999998
2016-08-01,dallas,438158.5900000014
2016-08-01,davis,9305.069999999998
2016-08-01,decatur,8038.01
2016-08-01,delaware,92357.19000000012
2016-08-01,des moines,319698.61000000115
2016-08-01,dickinson,496219.84000000224
2016-08-01,dubuque,742578.630000003
2016-08-01,emmet,57077.16999999992
2016-08-01,fayette,99085.60000000002
2016-08-01,floyd,98549.81999999996
2016-08-01,franklin,15063.330000000002
2016-08-01,fremont,2795.7700000000004
2016-08-01,greene,40539.339999999975
2016-08-01,grundy,27026.280000000006
2016-08-01,guthrie,28564.600000000013
2016-08-01,hamilton,57308.37000000002
2016-08-01,hancock,25295.54
2016-08-01,hardin,157392.1799999999
2016-08-01,harrison,21026.54000000005
2016-08-01,henry,119869.70999999992
2016-08-01,howard,27508.320000000003
2016-08-01,humboldt,54680.55999999994
2016-08-01,ida,59835.58
2016-08-01,iowa,80534.99000000017
2016-08-01,jackson,114394.29999999999
2016-08-01,jasper,118295.18000000017
2016-08-01,jefferson,78335.40000000024
2016-08-01,johnson,1544020.6499999894
